,Driver_ID,Gender,MMM-YY,Dateofjoining,City,Age,Education_Level,Income,Joining Designation,Grade,Total Business Value,Quarterly Rating,Churn_User,Current_date
0,1,0.0,01/01/19,24/12/18,C23,28.0,2.0,57387.0,1.0,1.0,2381060.0,2.0,0.0,01/01/19
1,1,0.0,02/01/19,24/12/18,C23,28.0,2.0,57387.0,1.0,1.0,-665480.0,2.0,0.0,02/01/19
2,1,0.0,03/01/19,24/12/18,C23,28.0,2.0,57387.0,1.0,1.0,0.0,2.0,1.0,03/01/19
3,2,0.0,11/01/20,11/06/20,C7,31.0,2.0,67016.0,2.0,2.0,0.0,1.0,0.0,11/01/20
4,2,0.0,12/01/20,11/06/20,C7,31.0,2.0,67016.0,2.0,2.0,0.0,1.0,0.0,12/01/20
5,4,0.0,12/01/19,12/07/19,C13,43.0,2.0,65603.0,2.0,2.0,0.0,1.0,0.0,12/01/19
6,4,0.0,01/01/20,12/07/19,C13,43.0,2.0,65603.0,2.0,2.0,0.0,1.0,0.0,01/01/20
7,4,0.0,02/01/20,12/07/19,C13,43.0,2.0,65603.0,2.0,2.0,0.0,1.0,0.0,02/01/20
8,4,0.0,03/01/20,12/07/19,C13,43.0,2.0,65603.0,2.0,2.0,350000.0,1.0,0.0,03/01/20
9,4,0.0,04/01/20,12/07/19,C13,43.0,2.0,65603.0,2.0,2.0,0.0,1.0,1.0,04/01/20
10,5,0.0,01/01/19,01/09/19,C9,29.0,0.0,46368.0,1.0,1.0,0.0,1.0,0.0,01/01/19
11,5,0.0,02/01/19,01/09/19,C9,29.0,0.0,46368.0,1.0,1.0,120360.0,1.0,0.0,02/01/19
12,5,0.0,03/01/19,01/09/19,C9,29.0,0.0,46368.0,1.0,1.0,0.0,1.0,1.0,03/01/19
13,6,1.0,08/01/20,31/07/20,C11,31.0,1.0,78728.0,3.0,3.0,0.0,1.0,0.0,08/01/20
14,6,1.0,09/01/20,31/07/20,C11,31.0,1.0,78728.0,3.0,3.0,0.0,1.0,0.0,09/01/20
15,6,1.0,10/01/20,31/07/20,C11,31.0,1.0,78728.0,3.0,3.0,0.0,2.0,0.0,10/01/20
16,6,1.0,11/01/20,31/07/20,C11,31.0,1.0,78728.0,3.0,3.0,1265000.0,2.0,0.0,11/01/20
17,6,1.0,12/01/20,31/07/20,C11,31.0,1.0,78728.0,3.0,3.0,0.0,2.0,0.0,12/01/20
18,8,0.0,09/01/20,19/09/20,C2,34.0,0.0,70656.0,3.0,3.0,0.0,1.0,0.0,09/01/20
