,Driver_ID,Gender,City,Education_Level,Joining Designation,Current_date,Total_Months_Worked,Max_Grade,Income_Total,Age_Max,Total_Business_Value,Quarterly_Rating_Mean,Churn_User
0,1,0.0,C23,2.0,1.0,03/01/19,3,1.0,172161.0,28.0,1715580.0,2.0,1.0
1,2,0.0,C7,2.0,2.0,12/01/20,2,2.0,134032.0,31.0,0.0,1.0,0.0
2,4,0.0,C13,2.0,2.0,12/01/19,5,2.0,328015.0,43.0,350000.0,1.0,1.0
3,5,0.0,C9,0.0,1.0,03/01/19,3,1.0,139104.0,29.0,120360.0,1.0,1.0
4,6,1.0,C11,1.0,3.0,12/01/20,5,3.0,393640.0,31.0,1265000.0,1.6,0.0
5,8,0.0,C2,0.0,3.0,11/01/20,3,3.0,211968.0,34.0,0.0,1.0,1.0
6,11,1.0,C19,2.0,1.0,12/01/20,1,1.0,42172.0,28.0,0.0,1.0,0.0
7,12,0.0,C23,2.0,1.0,12/01/19,6,1.0,168696.0,35.0,2607180.0,2.5,1.0
8,13,0.0,C19,2.0,1.0,12/01/19,23,4.0,2742221.0,31.0,10213040.0,1.2608695652173914,1.0
9,14,1.0,C26,0.0,3.0,12/01/20,3,3.0,59202.0,39.0,0.0,1.0,0.0
10,16,1.0,C23,0.0,2.0,02/01/19,2,2.0,105926.0,30.0,346800.0,1.0,1.0
11,17,0.0,C20,2.0,1.0,07/01/19,7,1.0,357693.0,43.0,1017640.0,1.4285714285714286,1.0
12,18,1.0,C17,1.0,1.0,05/01/19,5,1.0,158155.0,27.0,0.0,1.0,1.0
13,20,1.0,C19,0.0,3.0,12/01/19,6,3.0,242052.0,26.0,0.0,1.0,1.0
14,21,1.0,C29,1.0,1.0,12/01/19,14,1.0,318570.0,34.0,6962550.0,2.2857142857142856,1.0
15,22,0.0,C10,2.0,1.0,12/01/19,16,1.0,499584.0,41.0,7539490.0,2.875,1.0
16,24,0.0,C24,2.0,1.0,10/01/19,10,2.0,763080.0,40.333333333333336,4101720.0,2.3,1.0
17,25,0.0,C24,1.0,1.0,12/01/20,24,3.0,2449848.0,31.0,36351110.0,3.75,0.0
18,26,0.0,C14,2.0,1.0,12/01/20,24,4.0,3027176.0,43.0,69867900.0,3.0833333333333335,0.0
19,29,0.0,C13,2.0,1.0,05/01/19,5,1.0,151560.0,30.0,1273170.0,1.6,1.0
20,30,0.0,C6,1.0,3.0,12/01/19,3,3.0,208371.0,31.0,0.0,1.0,1.0
21,31,1.0,C28,2.0,3.0,12/01/20,6,3.0,391134.0,32.0,950940.0,1.5,0.0
22,34,1.0,C14,1.0,2.0,11/01/20,4,2.0,263252.0,28.0,476010.0,1.5,1.0
23,35,0.0,C5,1.0,3.0,05/01/20,3,3.0,204210.0,32.0,300000.0,1.0,1.0
24,36,1.0,C18,1.0,2.0,12/01/19,14,2.0,460110.0,41.0,4277730.0,2.0,1.0
25,37,1.0,C14,1.0,2.0,10/01/20,6,2.0,344250.0,33.0,650020.0,1.0,1.0
26,38,0.0,C27,0.0,1.0,12/01/19,4,1.0,53708.0,22.0,0.0,1.0,1.0
27,39,0.0,C26,0.0,2.0,12/01/20,5,2.0,364440.0,32.0,2422230.0,2.4,0.0
28,40,0.0,C15,0.0,2.0,12/01/19,4,2.0,236728.0,32.0,0.0,1.0,1.0
29,41,0.0,C29,2.0,4.0,12/01/20,18,4.0,1662696.0,35.0,21755910.0,2.0,0.0
30,42,1.0,C28,0.0,2.0,05/01/19,5,2.0,229940.0,44.0,994690.0,1.0,1.0
31,43,1.0,C15,0.0,1.0,01/01/19,1,1.0,12906.0,27.0,359890.0,1.0,0.0
32,44,0.0,C17,2.0,1.0,11/01/20,3,1.0,186300.0,28.0,150110.0,1.0,1.0
33,45,0.0,C8,2.0,3.0,12/01/20,7,3.0,542808.0,35.0,5227340.0,2.7142857142857144,0.0
34,46,1.0,C25,2.0,1.0,03/01/19,3,1.0,126513.0,36.0,338290.0,1.0,1.0
35,47,0.0,C21,1.0,1.0,12/01/20,3,1.0,84000.0,30.0,866270.0,2.0,0.0
36,49,0.0,C20,0.0,1.0,12/01/19,11,2.0,583429.0,35.666666666666664,1498500.0,1.1818181818181819,1.0
37,50,1.0,C5,0.0,3.0,02/01/19,2,3.0,178734.0,49.0,110310.0,1.0,1.0
38,51,0.0,C14,0.0,4.0,12/01/19,10,4.0,1313470.0,34.0,3190010.0,1.6,1.0
39,52,0.0,C19,0.0,3.0,12/01/20,6,3.0,292122.0,37.0,1852590.0,1.5,0.0
40,54,0.0,C29,1.0,4.0,12/01/20,18,5.0,2192705.0,35.0,33823290.0,2.2222222222222223,0.0
41,55,1.0,C8,0.0,1.0,12/01/19,5,1.0,149925.0,30.0,0.0,1.0,1.0
42,56,1.0,C19,2.0,1.0,12/01/20,24,1.0,1925352.0,36.0,11723470.0,2.875,0.0
43,57,1.0,C1,1.0,1.0,12/01/19,19,2.0,1602042.0,38.0,22791310.0,3.0526315789473686,1.0
44,58,0.0,C4,0.0,2.0,01/01/19,1,2.0,57987.0,41.0,0.0,1.0,1.0
45,59,1.0,C18,1.0,1.0,03/01/19,3,1.0,94932.0,35.0,134660.0,1.0,1.0
46,60,1.0,C20,0.0,1.0,12/01/20,24,4.0,2015820.0,48.0,49225520.0,3.5,0.0
47,61,0.0,C11,2.0,1.0,03/01/19,3,1.0,59454.0,32.0,-439300.0,1.0,1.0
48,62,0.0,C9,2.0,1.0,12/01/20,1,1.0,62376.0,27.0,0.0,1.0,0.0
49,63,0.0,C6,0.0,1.0,12/01/20,24,3.0,2254344.0,37.666666666666664,12293120.0,1.875,0.0
50,64,0.0,C27,2.0,2.0,06/01/20,5,2.0,332510.0,33.0,193940.0,1.0,1.0
51,65,1.0,C7,1.0,2.0,12/01/19,18,2.0,1251702.0,30.0,11718580.0,2.5,1.0
52,66,1.0,C4,2.0,3.0,02/01/20,2,3.0,208572.0,27.0,0.0,1.0,0.0
53,67,0.0,C28,2.0,1.0,12/01/20,24,2.0,1583568.0,41.0,12543500.0,2.5,0.0
54,68,0.0,C29,0.0,1.0,12/01/20,23,3.0,1823624.0,32.0,26764890.0,3.260869565217391,0.0
55,69,1.0,C7,1.0,2.0,12/01/19,11,2.0,710644.0,44.333333333333336,4640080.0,1.8181818181818181,1.0
56,70,0.0,C20,1.0,1.0,01/01/19,1,1.0,19235.0,35.0,0.0,1.0,1.0
57,71,0.0,C20,2.0,3.0,02/01/19,2,3.0,108206.0,43.0,188780.0,1.0,1.0
58,72,0.0,C14,2.0,2.0,12/01/20,3,2.0,126726.0,28.0,193580.0,1.0,0.0
