,Driver_ID,Gender
0,1,0.0
3,2,0.0
5,4,0.0
10,5,0.0
13,6,1.0
18,8,0.0
21,11,1.0
22,12,0.0
28,13,0.0
51,14,1.0
54,16,1.0
56,17,0.0
63,18,1.0
68,20,1.0
74,21,1.0
88,22,0.0
104,24,0.0
114,25,0.0
138,26,0.0
162,29,0.0
167,30,0.0
170,31,1.0
176,34,1.0
180,35,0.0
183,36,1.0
197,37,1.0
203,38,0.0
207,39,0.0
212,40,0.0
216,41,0.0
234,42,1.0
239,43,1.0
240,43,
241,44,0.0
244,45,0.0
251,46,1.0
254,47,0.0
257,49,0.0
258,49,
270,50,1.0
272,51,0.0
282,52,0.0
288,54,0.0
306,55,1.0
311,56,1.0
335,57,1.0
354,58,0.0
355,59,1.0
358,60,1.0
382,61,0.0
385,62,0.0
386,63,0.0
410,64,0.0
415,65,1.0
433,66,1.0
435,67,0.0
459,68,0.0
466,68,
483,69,1.0
494,70,0.0
495,71,0.0
497,72,0.0
500,74,1.0
506,75,1.0
512,77,0.0
536,78,0.0
560,79,0.0
562,80,1.0
565,81,0.0
575,82,1.0
580,83,0.0
590,84,0.0
605,85,0.0
608,86,0.0
609,87,0.0
625,88,1.0
631,89,0.0
646,90,0.0
651,91,0.0
656,93,0.0
658,95,1.0
660,96,0.0
665,97,1.0
668,98,0.0
685,99,0.0
691,101,0.0
696,102,1.0
699,103,1.0
707,104,1.0
712,105,0.0
713,106,1.0
721,107,0.0
733,108,0.0
739,109,1.0
748,110,1.0
754,111,0.0
763,112,0.0
787,113,1.0
792,114,1.0
795,115,0.0
819,116,0.0
820,116,
828,117,1.0
852,118,1.0
859,119,
860,119,1.0
864,120,0.0
871,121,1.0
874,122,0.0
879,123,0.0
888,125,1.0
895,127,0.0
898,129,1.0
904,130,0.0
912,131,1.0
923,132,0.0
926,133,1.0
931,134,0.0
934,135,0.0
938,136,1.0
939,137,0.0
946,138,0.0
947,139,0.0
949,140,0.0
973,141,0.0
978,142,0.0
980,143,0.0
983,144,0.0
987,145,0.0
992,147,0.0
996,148,0.0
997,149,1.0
1001,150,0.0
1025,151,0.0
1030,152,0.0
1036,153,1.0
1047,154,0.0
1051,155,0.0
1053,156,1.0
